company_name,sector,ticker,fiscal_year,revenue,ebitda,ebit,net_profit,total_assets,total_equity,total_debt,cfo,current_ratio,quick_ratio,roe,roce,ebitda_margin,interest_coverage,debt_equity,debt_ebitda,cfo_margin,asset_turnover,credit_score,credit_rating
Tata Steel,Steel,TATASTEEL,2021,156477.00,39738.00,30504.00,8190.00,243909.00,74239.00,88501.00,44327.00,0.97,0.56,11.03,18.74,25.40,4.01,1.19,2.23,28.33,0.64,65.62,BBB
Tata Steel,Steel,TATASTEEL,2022,243959.00,72591.00,63490.00,41749.00,282422.00,114443.00,75561.00,44381.00,1.23,0.70,36.48,33.41,29.76,11.62,0.66,1.04,18.19,0.86,83.91,AA
Tata Steel,Steel,TATASTEEL,2023,243353.00,41635.00,32300.00,8075.00,285396.00,103082.00,84893.00,21683.00,1.02,0.46,7.83,17.18,17.11,5.13,0.82,2.04,8.91,0.85,61.95,BBB
Tata Steel,Steel,TATASTEEL,2024,229171.00,32130.00,22248.00,-4910.00,269312.00,92035.00,87082.00,20301.00,0.89,0.34,-5.33,12.42,14.02,2.96,0.95,2.71,8.86,0.85,48.49,B
Tata Steel,Steel,TATASTEEL,2025,218543.00,35719.00,25298.00,3174.00,275459.00,91169.00,94801.00,23138.00,0.86,0.36,3.48,13.60,16.34,3.45,1.04,2.65,10.59,0.79,51.33,BB
Bharti Airtel,Telecom,BHARTIARTL,2021,100616.00,74683.00,45279.00,-12364.00,344417.00,58953.00,162785.00,48205.00,0.71,0.71,-20.97,20.42,74.23,3.00,2.76,2.18,47.91,0.29,52.49,BB
Bharti Airtel,Telecom,BHARTIARTL,2022,116547.00,90625.00,57534.00,8305.00,361207.00,66554.00,169678.00,55017.00,0.65,0.65,12.48,24.35,77.76,3.46,2.55,1.87,47.21,0.32,56.49,BB
Bharti Airtel,Telecom,BHARTIARTL,2023,139145.00,107706.00,71274.00,12287.00,444557.00,77563.00,226020.00,65325.00,0.60,0.60,15.84,23.48,77.41,3.69,2.91,2.10,46.95,0.31,57.83,BB
Bharti Airtel,Telecom,BHARTIARTL,2024,149982.00,117431.00,77893.00,8558.00,442019.00,82019.00,215592.00,78898.00,0.62,0.62,10.43,26.17,78.30,3.44,2.63,1.84,52.60,0.34,56.49,BB
Bharti Airtel,Telecom,BHARTIARTL,2025,172985.00,130630.00,85060.00,37481.00,505006.00,113672.00,213642.00,98332.00,0.56,0.56,32.97,25.99,75.52,3.91,1.88,1.64,56.84,0.34,58.12,BB
Indus Towers,Telecom,INDUSTOWER,2021,13954.00,10027.00,7179.00,3779.00,44944.00,15877.00,21576.00,7481.00,1.41,1.41,23.80,19.17,71.86,8.59,1.36,2.15,53.61,0.31,80.34,AA
Indus Towers,Telecom,INDUSTOWER,2022,27717.00,20226.00,14901.00,6373.00,47968.00,22151.00,19726.00,9121.00,2.35,2.35,28.77,35.58,72.97,9.30,0.89,0.98,32.91,0.58,92.33,AAA
Indus Towers,Telecom,INDUSTOWER,2023,28382.00,14993.00,9669.00,2040.00,46572.00,21110.00,19185.00,7905.00,2.16,2.16,9.66,24.00,52.83,5.79,0.91,1.28,27.85,0.61,84.99,AA
Indus Towers,Telecom,INDUSTOWER,2024,28601.00,20617.00,14557.00,6036.00,55868.00,27039.00,20531.00,11582.00,1.95,1.95,22.32,30.60,72.08,7.81,0.76,1.00,40.50,0.51,90.66,AAA
Indus Towers,Telecom,INDUSTOWER,2025,30123.00,27052.00,20650.00,9932.00,63168.00,32498.00,21156.00,19645.00,1.76,1.76,30.56,38.49,89.81,11.11,0.65,0.78,65.22,0.48,92.33,AAA
MTNL,Telecom,MTNL,2021,1388.00,968.00,75.00,-2461.00,13400.00,-16045.00,25600.00,-225.00,1.81,1.80,,0.78,69.74,0.04,,26.45,-16.21,0.10,31.66,C/D
MTNL,Telecom,MTNL,2022,1149.00,468.00,-304.00,-2603.00,12342.00,-18668.00,26820.00,704.00,1.59,1.58,,-3.73,40.73,-0.14,,57.31,61.27,0.09,51.66,BB
MTNL,Telecom,MTNL,2023,935.00,296.00,-434.00,-2915.00,11672.00,-20855.00,28351.00,64.00,1.59,1.58,,-5.79,31.66,-0.18,,95.78,6.84,0.08,43.66,B
MTNL,Telecom,MTNL,2024,799.00,184.00,-482.00,-3268.00,10745.00,-23644.00,30141.00,130.00,1.49,1.48,,-7.42,23.03,-0.18,,163.81,16.27,0.07,49.16,B
MTNL,Telecom,MTNL,2025,698.00,142.00,-470.00,-3328.00,10253.00,-26919.00,32441.00,340.00,1.35,1.35,,-8.51,20.34,-0.16,,228.46,48.71,0.07,49.16,B
Tata Communications,Telecom,TATACOMM,2021,17100.00,6575.00,4261.00,1252.00,21306.00,115.00,11394.00,3180.00,0.72,0.72,1088.70,37.02,38.45,10.15,99.08,1.73,18.60,0.80,67.25,BBB
Tata Communications,Telecom,TATACOMM,2022,16725.00,6432.00,4227.00,1485.00,19638.00,928.00,9122.00,4204.00,0.66,0.65,160.02,42.06,38.46,11.74,9.83,1.42,25.14,0.85,67.25,BBB
Tata Communications,Telecom,TATACOMM,2023,17838.00,6580.00,4318.00,1801.00,20519.00,1518.00,8577.00,4384.00,0.66,0.65,118.64,42.77,36.89,10.00,5.65,1.30,24.58,0.87,67.25,BBB
Tata Communications,Telecom,TATACOMM,2024,20969.00,6700.00,4230.00,970.00,24365.00,1786.00,11263.00,3182.00,0.70,0.70,54.31,32.42,31.95,6.57,6.31,1.68,15.17,0.86,65.58,BBB
Tata Communications,Telecom,TATACOMM,2025,23109.00,7161.00,4569.00,1837.00,26444.00,3021.00,12357.00,2911.00,0.79,0.77,60.81,29.71,30.99,6.27,4.09,1.73,12.60,0.87,61.58,BBB
Vodafone Idea,Telecom,IDEA,2021,41952.00,40584.00,16946.00,-44233.00,203478.00,-38228.00,201720.00,15640.00,0.88,0.88,,10.37,96.74,0.94,,4.97,37.28,0.21,49.83,B
Vodafone Idea,Telecom,IDEA,2022,38516.00,39552.00,15968.00,-28245.00,194029.00,-61965.00,213761.00,17387.00,0.87,0.87,,10.52,102.69,0.76,,5.40,45.14,0.20,47.74,B
Vodafone Idea,Telecom,IDEA,2023,42177.00,39803.00,16753.00,-29301.00,207243.00,-74359.00,237766.00,18869.00,0.76,0.75,,10.25,94.37,0.72,,5.97,44.74,0.20,38.99,C/D
Vodafone Idea,Telecom,IDEA,2024,42652.00,39706.00,17072.00,-31238.00,184997.00,-104167.00,243809.00,20826.00,0.59,0.59,,12.23,93.09,0.66,,6.14,48.83,0.23,35.86,C/D
Vodafone Idea,Telecom,IDEA,2025,43571.00,40022.00,18049.00,-27383.00,197855.00,-70320.00,233229.00,9291.00,1.10,1.10,,11.08,91.85,0.74,,5.83,21.32,0.22,50.24,BB
